model,MAE,RMSE,WAPE,RMSPE,BiasPct,R2,fit_seconds,training_rows
xgboost,601.3130392645909,905.309366398048,0.08616481250450753,0.12400085023818223,0.009879438723646274,0.9121657270515543,1.3704699440000923,100000
ridge,1107.559633324269,2340.151246499239,0.15870713241086776,0.2459002832604828,0.08846607957400347,0.4131084752345916,0.568903381000041,100000
rolling_mean_28d,1500.2694218830973,2138.5634451323604,0.21498025986747502,0.27946070334388373,-0.13823837015030663,0.5098666414884494,0.0,751844
seasonal_naive_7d,2191.872498882876,2830.1258134672426,0.3140831323581623,0.4102064195504752,-0.0014411474471425062,0.1416162872682204,0.0,751844
